date,population,admission,release
2020-07-28,86936.16290826161,1818.1909194598961,2005.2311619902694
2020-07-29,86906.67005135215,1974.6467691330986,2059.4064442243753
2020-07-30,86852.05219444272,2006.6067691330986,2006.3674831854141
2020-07-31,86899.7914803904,2050.8067691330984,1944.342483185414
2020-08-01,86952.70576633807,1998.6317691330987,902.7174831854142
2020-08-02,87473.12005228575,1423.1317691330985,901.7174831854142
2020-08-03,88063.03433823344,1491.6317691330987,2273.317483185414
2020-08-04,87711.01529084779,1921.2984357997652,2145.9424831854144
2020-08-05,87622.37124346214,2056.3234357997653,2014.5258165187474
2020-08-06,87821.79386274316,2189.402981254311,2226.2530892460204
2020-08-07,87689.76193656964,2093.7211630724923,2020.4955134884444
2020-08-08,87858.56334372945,2176.5469206482503,908.137180155111
2020-08-09,88507.13141755591,1552.8264661027956,886.3038468217777
2020-08-10,89037.69949138237,1419.8719206482501,2298.9705134884443
2020-08-11,88764.93423187551,2023.3719206482497,2677.5594023773333
2020-08-12,88879.28008347977,2793.705253981583,2071.716545234476
2020-08-13,88924.67355413164,2117.110015886345,2142.164597182528
2020-08-14,88928.9826091991,2146.4736522499816,2083.697930515861
2020-08-15,89045.98150166491,2200.6968229816894,963.7534860714171
2020-08-16,89763.20261635297,1683.6412674261333,1007.1801527380837
2020-08-17,90284.10373104103,1535.0812674261333,2482.0968194047505
2020-08-18,89875.08817906241,2070.9618696670295,2257.0529340594476
2020-08-19,89895.2661012606,2279.0086340354283,2124.9735689800823
2020-08-20,89951.37259488738,2179.9133959401897,2249.556902313416
2020-08-21,90079.64575518083,2276.991601068395,2076.040235646749
2020-08-22,90284.11891547428,2281.846729273523,994.3735689800824
2020-08-23,91035.59207576771,1745.8467292735234,1083.8735689800824
2020-08-24,91536.73190272781,1571.3911737179674,2456.3854376669515
2020-08-25,91289.7462246374,2210.999759576553,2391.5854376669513
2020-08-26,91682.160546547,2783.9997595765535,2156.4968662383794
2020-08-27,91800.51201131377,2274.8483310051247,2198.7079773494906
2020-08-28,91965.81903163609,2364.014997671791,2327.641310682824
2020-08-29,91990.59271862502,2350.014997671791,970.8413106828243
2020-08-30,92863.866405614,1846.9149976717913,1030.307977349491
2020-08-31,93579.64009260297,1746.081664338458,2675.9746440161575
2020-09-01,93159.74711292527,2256.0816643384583,2520.312808267365
2020-09-02,92996.68746658089,2365.137219894014,2411.815913857428
2020-09-03,93017.53432817303,2432.662775449569,2447.4787045551025
2020-09-04,92934.53235255588,2366.4651010309644,2440.117076648125
2020-09-05,92927.08037693871,2433.5651010309643,1052.0170766481249
2020-09-06,93612.62840132155,1737.5651010309646,1040.917076648125
2020-09-07,94091.5264257044,1519.8151010309646,971.7305359161298
2020-09-08,94687.80343473896,1568.9992804878711,2824.97227145332
